Subject	Group	Condition	File	Train	BeatNb	BeatInstant	TapInstant
14	2	1	21	1	3	1.69985	1.12755
14	2	1	21	1	4	2.4871	2.2142
14	2	1	21	1	5	3.2925	2.66575
14	2	1	21	1	6	3.94815	3.63175
14	2	1	21	1	7	4.78785	4.0983
14	2	1	21	1	8	5.58985	4.57435
14	2	1	21	1	9	6.2869	5.75005
14	2	1	21	1	10	7.33245	6.20965
14	2	1	21	1	11	7.88165	6.655
14	2	1	21	1	12	8.865	7.49145
14	2	1	21	1	13	9.48025	9.00995
14	2	1	21	1	14	9.99725	9.4125
14	2	1	21	1	15	10.56735	10.58815
14	2	1	21	1	16	11.0877	11.7554
14	2	1	21	1	17	11.59505	12.854
14	2	1	21	1	18	12.1192	13.1686
14	2	1	21	1	19	12.6942	13.6733
14	2	1	21	1	20	13.47165	14.5947
14	2	1	21	1	21	14.4502	15.3547
14	2	1	21	1	22	15.1517	15.9064
14	2	1	21	1	23	16.1397	16.98115
14	2	1	21	1	24	16.8049	17.73255
14	2	1	21	1	25	17.5689	18.3847
14	2	1	21	1	26	18.2213	19.20825
14	2	1	21	1	27	18.88475	21.27605
14	2	1	21	1	28	19.66	21.5762
14	2	2	8	1	1	0.2219	0.2261
14	2	2	8	1	2	0.7219	0.66325
14	2	2	8	1	3	1.2219	1.1604
14	2	2	8	1	4	1.72285	1.668
14	2	2	8	1	5	2.7219	2.1813
14	2	2	8	1	6	3.2219	2.6506
14	2	2	8	1	7	3.7257	3.1667
14	2	2	8	2	1	0.2987	0.28605
14	2	2	8	2	2	0.79965	0.74255
14	2	2	8	2	3	1.29965	1.2217
14	2	2	8	2	4	1.7997	1.6977
14	2	2	8	2	5	2.2997	2.1607
14	2	2	8	2	6	3.29965	2.6395
14	2	2	8	2	7	3.8025	3.1728
14	2	2	8	3	1	0.2567	0.1934
14	2	2	8	3	2	0.7567	0.6873
14	2	2	8	3	3	1.75665	1.18845
14	2	2	8	3	4	2.2567	1.6825
14	2	2	8	3	5	3.2567	2.21635
14	2	2	8	3	6	3.7567	2.7012
14	2	2	8	4	1	0.2436	0.19625
14	2	2	8	4	2	0.7436	0.68125
14	2	2	8	4	3	1.5938	1.1291
14	2	2	9	1	1	0.30065	0.25815
14	2	2	9	1	2	0.8016	0.72015
14	2	2	9	1	3	1.3016	1.20055
14	2	2	9	1	4	2.30065	1.68245
14	2	2	9	1	5	2.80065	2.2183
14	2	2	9	1	6	3.30065	2.69185
14	2	2	9	1	7	3.80165	3.16785
14	2	2	9	2	1	0.24195	0.18755
14	2	2	9	2	2	0.74195	0.6646
14	2	2	9	2	3	1.24195	1.12475
14	2	2	9	2	4	1.74195	1.5837
14	2	2	9	2	5	2.24195	2.1072
14	2	2	9	2	6	2.74195	2.59725
14	2	2	9	2	7	3.24195	3.09075
14	2	2	9	3	1	0.2594	0.20985
14	2	2	9	3	2	1.25845	0.6995
14	2	2	9	3	3	1.75845	1.16045
14	2	2	9	3	4	2.25845	1.67715
14	2	2	9	3	5	2.75845	2.17025
14	2	2	9	3	6	3.2594	2.69835
14	2	2	9	3	7	3.75945	3.21605
14	2	2	9	4	1	0.275	0.19655
14	2	2	9	4	2	0.7759	0.64155
14	2	2	9	4	3	1.2759	1.11915
14	2	2	9	4	4	1.77595	1.60245
14	2	2	9	4	5	2.7759	2.10075
14	2	2	9	4	6	3.27595	2.5919
14	2	2	9	4	7	3.77875	3.11185
14	2	2	9	5	1	0.2549	0.1608
14	2	2	9	5	2	1.25485	0.63595
14	2	2	9	5	3	1.7549	1.11935
14	2	2	9	5	4	2.2549	1.6418
14	2	2	9	5	5	2.7549	2.13045
14	2	2	9	5	6	3.2567	2.67145
14	2	2	9	5	7	3.7577	3.14485
14	2	2	9	6	1	0.19625	0.10935
14	2	2	9	6	2	0.69625	0.5928
14	2	2	9	6	3	1.19625	1.08505
14	2	2	9	6	4	1.69625	1.5002
22	1	1	22	1	1	0.49755	0.85805
22	1	1	22	1	2	1.14055	1.1581
22	1	1	22	1	3	2.49755	1.5921
22	1	1	22	1	4	3.0512	1.8931
22	1	1	22	1	5	3.6897	2.4455
22	1	1	22	1	6	4.6727	2.8151
22	1	1	22	1	7	5.19545	3.2126
22	1	1	22	1	8	7.04525	3.66135
22	1	1	22	1	9	8.5063	4.2072
22	1	1	22	1	10	10.148	4.57435
22	1	1	22	1	11	10.84505	5.05015
22	1	1	22	1	12	11.8906	5.45675
22	1	1	22	1	13	13.42315	6.06435
22	1	1	22	1	14	15.1255	6.769
22	1	1	22	1	15	16.1532	7.25225
22	1	1	22	1	16	17.25235	8.42355
22	1	1	22	1	17	18.0298	8.72435
22	1	1	22	1	18	19.0083	9.1308
22	1	1	22	1	19	19.7098	9.7003
22	1	1	22	1	20	21.363	10.49955
22	1	1	22	1	21	22.12705	11.28065
22	1	1	22	1	22	22.7794	12.04105
22	1	1	22	1	23	24.21815	13.5791
22	1	1	22	1	24	25.67025	13.98795
22	1	1	22	1	25	26.4924	15.298
22	1	1	22	1	26	27.2922	16.3315
22	1	1	22	1	27	28.42265	17.46635
22	1	1	26	1	1	0.53555	0.89975
22	1	1	26	1	2	1.17855	1.34915
22	1	1	26	1	3	2.23665	1.82945
22	1	1	26	1	4	3.0892	2.3795
22	1	1	26	1	5	3.7277	2.73445
22	1	1	26	1	6	4.7107	3.2484
22	1	1	26	1	7	5.55965	3.74405
22	1	1	26	1	8	6.6722	4.5591
22	1	1	26	1	9	8.2584	4.85925
22	1	1	26	1	10	9.0154	5.67285
22	1	1	26	1	11	10.18605	6.4451
22	1	1	26	1	12	10.88305	6.7561
22	1	1	26	1	13	11.9286	7.29335
22	1	1	26	1	14	13.85435	8.4181
22	1	1	26	1	15	15.1635	8.7853
22	1	1	26	1	16	16.1912	9.2312
22	1	1	26	1	17	17.57185	10.3531
22	1	1	26	1	18	18.0723	11.04695
22	1	1	26	1	19	19.04635	12.1042
22	1	1	26	1	20	19.74785	13.6318
22	1	1	26	1	21	21.40105	14.07895
22	1	1	26	1	22	22.16505	15.3665
22	1	1	26	1	23	22.81745	16.3742
22	1	1	26	1	24	24.25615	17.45865
22	1	1	26	1	25	25.7083	17.791
22	1	1	26	1	26	26.53045	18.277
22	1	1	26	1	27	27.33025	19.20695
22	1	1	26	1	28	28.46065	19.9179
22	1	2	11	1	1	0.2926	0.3712
22	1	2	11	1	2	0.7926	0.79585
22	1	2	11	1	3	1.2926	1.27005
22	1	2	11	1	4	1.7926	1.7622
22	1	2	11	1	5	2.2926	2.2967
22	1	2	11	1	6	2.7926	2.81825
22	1	2	11	1	7	3.2926	3.2692
22	1	2	11	1	8	3.79265	3.70755
22	1	2	11	2	1	0.29255	0.67695
22	1	2	11	2	2	0.79255	1.22225
22	1	2	11	2	3	1.29255	1.78165
22	1	2	11	2	4	1.79255	2.26295
22	1	2	11	2	5	2.29255	2.7086
22	1	2	11	2	6	2.79255	3.25295
22	1	2	11	2	7	3.29255	3.76255
22	1	2	11	3	1	0.19495	0.30365
22	1	2	11	3	2	0.69495	0.7059
22	1	2	11	3	3	1.19495	1.12095
22	1	2	11	3	4	1.69495	1.63505
22	1	2	11	3	5	2.19495	2.08155
22	1	2	11	3	6	2.695	2.57505
22	1	2	11	3	7	3.195	3.11085
22	1	2	11	3	8	3.695	3.6159
22	1	2	11	4	1	0.32405	0.40985
22	1	2	11	4	2	0.82405	0.79175
22	1	2	11	4	3	1.32405	1.2504
22	1	2	11	4	4	1.82405	1.73985
22	1	2	11	4	5	2.32405	2.25075
22	1	2	11	4	6	2.82405	2.7374
22	1	2	11	4	7	3.32405	3.3213
22	1	2	11	5	1	0.324	0.2876
22	1	2	11	5	2	0.824	0.7194
22	1	2	11	5	3	1.324	1.23165
22	1	2	11	5	4	1.824	1.7509
22	1	2	11	5	5	2.324	2.22155
22	1	2	11	5	6	2.824	2.70385
22	1	2	11	5	7	3.324	3.304
22	1	2	11	5	8	4.324	3.76585
22	1	2	11	5	9	4.824	4.37265
22	1	2	11	5	10	5.324	4.7955
22	1	2	12	1	1	0.2567	0.374
22	1	2	12	1	2	0.7567	0.68955
22	1	2	12	1	3	1.2567	1.19505
22	1	2	12	1	4	1.7567	1.70835
22	1	2	12	1	5	2.2567	2.212
22	1	2	12	1	6	2.7567	2.6954
22	1	2	12	1	7	3.2567	3.227
22	1	2	12	1	8	3.75675	3.7127
22	1	2	12	2	1	0.27345	0.2938
22	1	2	12	2	2	0.77345	0.7242
22	1	2	12	2	3	1.27345	1.21345
22	1	2	12	2	4	1.77345	1.7044
22	1	2	12	2	5	2.27345	2.17815
22	1	2	12	2	6	2.77345	2.70925
22	1	2	12	2	7	3.27345	3.20625
22	1	2	12	2	8	3.7735	3.6997
22	1	2	12	3	1	0.199	0.26425
22	1	2	12	3	2	0.699	0.6462
22	1	2	12	3	3	1.199	1.1829
22	1	2	12	3	4	1.699	1.63085
22	1	2	12	3	5	2.199	2.17235
22	1	2	12	3	6	2.699	2.67025
22	1	2	12	3	7	3.199	3.137
22	1	2	12	3	8	3.69905	3.6062
22	1	2	12	4	1	0.27655	0.3353
22	1	2	12	4	2	0.77655	0.7046
22	1	2	12	4	3	1.2766	1.2634
22	1	2	12	4	4	1.7766	1.72255
22	1	2	12	4	5	2.77565	2.2253
22	1	2	12	4	6	3.27565	2.67595
22	1	2	12	4	7	3.7766	3.2568
22	1	2	12	5	1	0.2924	0.29975
22	1	2	12	5	2	0.7924	0.72295
32	2	1	19	1	1	0.52175	0.2575
32	2	1	19	1	2	1.07535	0.7762
32	2	1	19	1	3	1.7139	1.26765
32	2	1	19	1	4	2.69685	1.90245
32	2	1	19	1	5	3.5458	2.49365
32	2	1	19	1	6	5.06945	3.4241
32	2	1	19	1	7	6.5305	4.02905
32	2	1	19	1	8	8.1722	4.8744
32	2	1	19	1	9	8.86925	5.3917
32	2	1	19	1	10	9.9148	6.4324
32	2	1	19	1	11	11.84055	6.9027
32	2	1	19	1	12	13.1497	7.52515
32	2	1	19	1	13	14.1774	8.40805
32	2	1	19	1	14	15.27655	9.06755
32	2	1	19	1	15	16.054	10.1131
32	2	1	19	1	16	17.03255	11.6501
32	2	1	19	1	17	17.73405	12.1028
32	2	1	19	1	18	19.38725	13.3505
32	2	1	19	1	19	20.15125	14.383
32	2	1	19	1	20	20.8036	15.4902
32	2	1	19	1	21	22.24235	15.7919
32	2	1	19	1	22	23.6945	16.39095
32	2	1	19	1	23	24.51665	17.21595
32	2	1	19	1	24	25.31645	17.9433
32	2	1	19	1	25	26.44685	19.59445
32	2	1	20	1	1	0.34505	0.65825
32	2	1	20	1	2	1.45675	1.2162
32	2	1	20	1	3	2.34505	1.7466
32	2	1	20	1	4	2.89865	2.2527
32	2	1	20	1	5	3.5372	2.7686
32	2	1	20	1	6	4.52015	3.3825
32	2	1	20	1	7	5.04295	4.3026
32	2	1	20	1	8	6.89275	5.2506
32	2	1	20	1	9	8.3538	5.6431
32	2	1	20	1	10	9.9955	6.6783
32	2	1	20	1	11	10.69255	7.1439
32	2	1	20	1	12	11.7381	8.2367
32	2	1	20	1	13	13.27065	8.87035
32	2	1	20	1	14	14.973	9.4355
32	2	1	20	1	15	16.0007	10.21605
32	2	1	20	1	16	17.09985	10.9086
32	2	1	20	1	17	17.8773	11.88595
32	2	1	20	1	18	18.85585	13.4887
32	2	1	20	1	19	19.55735	13.9128
32	2	1	20	1	20	21.21055	15.17405
32	2	1	20	1	21	21.97455	16.19695
32	2	1	20	1	22	22.62695	17.31845
32	2	1	20	1	23	24.06565	17.6187
32	2	1	20	1	24	25.5178	18.2667
32	2	1	20	1	25	26.33995	19.049
32	2	1	20	1	26	27.13975	19.7559
32	2	1	20	1	27	28.27015	20.5014
32	2	2	8	1	1	0.26985	0.27895
32	2	2	8	1	2	0.76985	0.7829
32	2	2	8	1	3	1.26985	1.2438
32	2	2	8	1	4	1.76985	1.74605
32	2	2	8	1	5	2.26985	2.25055
32	2	2	8	1	6	2.76985	2.74815
32	2	2	8	1	7	3.26985	3.25265
32	2	2	8	2	1	0.25385	0.27505
32	2	2	8	2	2	0.75385	0.7904
32	2	2	8	2	3	1.25385	1.21545
32	2	2	8	2	4	1.75385	1.76615
32	2	2	8	2	5	2.25385	2.2252
32	2	2	8	2	6	2.75385	2.70115
32	2	2	8	2	7	3.25385	3.2561
32	2	2	8	3	1	0.3077	0.2799
32	2	2	8	3	2	0.8077	0.8024
32	2	2	8	3	3	1.3077	1.30855
32	2	2	8	3	4	1.8077	1.75275
32	2	2	8	3	5	2.3077	2.2506
32	2	2	8	3	6	2.8077	2.73505
32	2	2	8	3	7	3.3077	3.2612
32	2	2	8	4	1	0.29165	0.31635
32	2	2	8	4	2	0.79165	0.72555
32	2	2	8	4	3	1.29165	1.2291
32	2	2	8	4	4	1.79165	1.71575
32	2	2	8	4	5	2.29165	2.2625
32	2	2	8	4	6	2.79165	2.697
32	2	2	8	4	7	3.2926	3.21025
32	2	2	8	5	1	0.20675	0.18825
32	2	2	8	5	2	0.70675	0.59845
32	2	2	8	5	3	1.20675	1.1291
32	2	2	8	5	4	1.70675	1.5478
32	2	2	8	5	5	2.20675	2.0895
32	2	2	8	5	6	2.70675	2.57645
32	2	2	8	5	7	3.20675	3.11895
32	2	2	8	5	8	4.20675	4.11015
32	2	2	8	5	9	4.70675	4.7044
32	2	2	12	1	1	0.2864	0.3413
32	2	2	12	1	2	0.7864	0.78595
32	2	2	12	1	3	1.2864	1.33035
32	2	2	12	1	4	1.7864	1.7522
32	2	2	12	1	5	2.2864	2.31155
32	2	2	12	1	6	2.7864	2.76195
32	2	2	12	1	7	3.2864	3.2361
32	2	2	12	2	1	0.2852	0.33825
32	2	2	12	2	2	0.7852	0.74835
32	2	2	12	2	3	1.2852	1.2834
32	2	2	12	2	4	1.7852	1.7538
32	2	2	12	2	5	2.2852	2.25005
32	2	2	12	2	6	2.7852	2.7552
32	2	2	12	2	7	3.2852	3.23715
32	2	2	12	2	8	3.7862	3.7218
32	2	2	12	3	1	0.3185	0.5001
32	2	2	12	3	2	0.8185	0.89965
32	2	2	12	3	3	1.3185	1.38465
32	2	2	12	3	4	1.8185	1.80925
32	2	2	12	3	5	2.3185	2.23255
32	2	2	12	3	6	2.81945	2.72315
32	2	2	12	3	7	3.31945	3.2631
32	2	2	12	3	8	3.8195	3.74125
32	2	2	12	4	1	0.1803	0.20005
32	2	2	12	4	2	0.6803	0.6388
32	2	2	12	4	3	1.1803	1.0937
32	2	2	12	4	4	1.6803	1.63345
32	2	2	12	4	5	2.1803	2.1687
32	2	2	12	4	6	2.6803	2.60505
32	2	2	12	4	7	3.1803	3.0991
32	2	2	12	4	8	3.68035	3.78995
32	2	2	12	5	1	0.1791	0.2267
32	2	2	12	5	2	0.6791	0.6693
32	2	2	12	5	3	1.6782	1.1514
32	2	2	12	5	4	2.1782	1.6277
32	2	2	12	5	5	2.6782	2.1507
32	2	2	12	5	6	3.1782	2.63945
32	2	2	12	5	7	4.1782	3.12595
32	2	2	12	5	8	4.6782	4.11675
