Subject	Group	Condition	File	Train	BeatNb	BeatInstant	TapInstant
13	1	1	23	1	28	26.5591	18.5944
13	1	1	23	1	29	27.99785	19.17495
13	1	1	23	1	30	29.45	19.4753
13	1	1	23	1	31	30.2721	20.11825
13	1	1	23	1	32	31.0719	20.41835
13	1	1	23	1	33	32.20235	20.9599
13	1	1	24	1	1	4.24535	5.54195
13	1	1	24	1	2	4.8883	6.2428
13	1	1	24	1	3	5.35705	6.57135
13	1	1	24	1	4	5.9464	7.04655
13	1	1	24	1	5	6.2471	7.3939
13	1	1	24	1	6	6.79895	7.7
13	1	1	24	1	7	7.43745	8.01705
13	1	1	24	1	8	8.42045	8.31735
13	1	1	24	1	9	8.94325	8.6949
13	1	1	24	1	10	9.2694	9.1647
13	1	1	24	1	11	10.38195	9.54665
13	1	1	24	1	12	10.79305	9.8488
13	1	1	24	1	13	12.2541	10.55765
13	1	1	24	1	14	12.7252	10.8648
13	1	1	24	1	15	13.8958	11.2293
13	1	1	24	1	16	14.59285	11.6701
13	1	1	24	1	17	15.6384	12.13465
13	1	1	24	1	18	17.17095	12.71355
13	1	1	24	1	19	17.56415	13.01365
13	1	1	24	1	20	18.8733	13.5449
13	1	1	24	1	21	19.901	14.04535
13	1	1	24	1	22	21.28165	14.43805
13	1	1	24	1	23	21.7776	14.88275
13	1	1	24	1	24	22.75615	15.47925
13	1	1	24	1	25	23.45765	15.8537
13	1	1	24	1	26	25.11085	16.1889
13	1	1	24	1	27	25.8749	16.4896
13	1	1	24	1	28	26.52725	17.3898
13	1	1	24	1	29	27.966	17.9523
13	1	1	24	1	30	29.4181	18.25325
13	1	1	24	1	31	30.24025	18.56285
13	1	1	24	1	32	31.04005	18.8841
13	1	1	24	1	33	32.1705	19.18815
13	1	2	9	1	1	16.4978	16.4704
13	1	2	9	1	2	16.9978	16.9535
13	1	2	9	1	3	17.4978	17.3983
13	1	2	9	1	4	17.9978	17.90305
13	1	2	9	1	5	18.4978	18.44405
13	1	2	9	1	6	18.9978	18.9803
13	1	2	9	1	7	19.4978	19.4338
13	1	2	9	1	8	19.9988	19.92075
13	1	2	9	2	1	20.4978	20.17525
13	1	2	9	2	2	20.9978	20.5312
13	1	2	9	2	3	21.4978	20.9786
13	1	2	9	2	4	21.9978	21.41415
13	1	2	9	2	5	22.4978	21.9105
13	1	2	9	2	6	22.9978	22.4851
13	1	2	9	2	7	23.4978	22.95425
13	1	2	9	2	8	23.9988	23.39835
13	1	2	9	3	1	24.49875	24.45515
13	1	2	9	3	2	24.99875	24.9109
13	1	2	9	3	3	25.49875	25.42245
13	1	2	9	3	4	25.99875	25.93165
13	1	2	9	3	5	26.49875	26.42965
13	1	2	9	3	6	26.99875	26.889
